mt,ref,score
"By the end of January, doctors from mainland China and Hong Kong had clarified the clinical characteristics of the virus and warned the world of the threat of the COVID-19 virus through research papers published in The Lancet.","By the end of January, doctors from Mainland China and Hong Kong had clarified the clinical features of COVID-19, and warned the world about the threat of COVID-19 through research papers published in The Lancet.",0
"China has also been at the forefront of vaccine research. When the country declares a state of emergency, through close domestic cooperation, such research has been carried out very quickly and strictly. In May and July, the results of the progress made in the early trials of the COVID-19 vaccine developed by China were published in The Lancet respectively.","China has also been at the forefront of vaccine research; under the state of emergency declared by the country, such research has been carried out very quickly and strictly through close domestic cooperation in China; and in May and July, the results of early trials of COVID-19 vaccine developed by China were published in The Lancet respectively.",0
China's experience shows that it is very important to invest in the national health and research system to effectively improve laboratory capacity.,China's experience shows that it is very important to invest in the national health and research system and effectively improve the laboratory capacity.,-5
This is the basis for the country to respond quickly and effectively to health emergencies and global health security.,This is the basis for China to respond quickly and effectively to health emergencies and global health security.,-5
"Other countries, especially low- and middle-income countries, are worth learning from.","Other countries, especially low-income and middle-income countries, are worth learning from China's experience.",-5
"In addition, China's experience has proved that on the basis of strong research, there must be a strong high-level decisive reliance on scientific basis to make correct decisions, so that the COVID-19 epidemic can be effectively controlled.","In addition, China's experience proves that on the basis of strong research, there must be a strong high-level institution to make correct decisions decisively based on scientific basis, so that the COVID-19 epidemic can be effectively controlled.",-10
"The article emphasizes that the government and its leaders must respect science, understand the value of science, and act on it in the most beneficial way to society.","The article emphasizes that the government and its leaders must respect science, understand its value, and take actions against COVID-19 in the most beneficial way to society.",-10
"At the beginning of the outbreak, China's National Health and Construction Commission sent three groups of infectious disease experts to Wuhan to investigate the risk and spread of the COVID-19 virus. Their suggestions provided the basis for Wuhan's decision to "" close the city "" on January 23; When experts put forward the necessity and urgency of building a cabin hospital, the government quickly made a decision and implemented it quickly; At the same time, the extensive participation of the community and the masses also made the epidemic quickly and effectively controlled.","In the early stage of the outbreak of COVID-19, the National Health Commission of China sent three groups of infectious disease experts to Wuhan to investigate the risk and spread of COVID-19, and their suggestions provided the basis for the decision to ""Lockdown"" in Wuhan on January 23; when some experts put forward the necessity and urgency of building mobile cabin hospitals, the government quickly made a decision and implemented it quickly; and at the same time, the extensive participation of the community and the masses also made the COVID-19 epidemic quickly and effectively controlled.",-25
"Finally, the article emphasizes that in response to global health emergencies, countries need to strengthen global cooperation and joint response.","Finally, the article emphasizes that countries need to strengthen global cooperation and joint response to global health emergencies.",-5
Front desk reporter Yang Hong,"Yang Hong, Headquarters Reporter",-5
"On the afternoon of the 25th local time, a small plane crashed into the top floor of a multi-storey residential building in Wesel County, North Rhine-Westphalia, Germany, killing three people in the accident.","On the afternoon of 25th local time, a small plane crashed into the top floor of a multi-storey residential building in Wesel County, North Rhine-Westphalia, Germany, causing three deaths in total.",-5
"Duisburg prosecutors, Wesel County Police Department and Wesel City Fire Department jointly issued a statement that evening, saying that at about 14: 40 that day, a two-seat small plane crashed into a house on the top floor of a multi-storey residential building on Huiberskamp Street in Wesel County, killing three people.","Duisburg Procuratorate, Wesel County Police Station and Wesel City Fire Department jointly issued a statement that night, saying that at about 14: 40 that day, a small plane with two seats crashed into the penthouse at the top floor of a multi-storey residential building in Huiberskamp Street, Wesel County, causing three deaths.",-16.1
"On the same day, it took off from Mal City, Ruhr District, North Rhine-Westphalia, stopped at the airport in Wesel County and took off again, and then crashed into a residential building.","On that day, the plane took off from Marl City, Ruhr District, North Rhine-Westphalia, took off again after stopping at the airport in Wesel County, and then crashed into the residential building.",-5
The identity of the deceased may be a female resident in the impacted house and two passengers on the small plane.,The deceased may be a female resident in the impacted house and two passengers on the small plane.,0
A two-year-old child in the room was only slightly injured and was rescued safely.,A two-year-old child in the impacted house was only slightly injured and was rescued safely.,-5
"The rest of the residents in the room were not injured in the accident, but their emotions have not yet recovered.","The remaining persons in the impacted house were not injured in the accident, but their emotions were still unsettled.",-5
"The scene pictures reported by Deutsche News Agency showed that the house in the accident once emitted thick smoke, and firefighters could see that the house was seriously damaged after extinguishing the fire.","The scene pictures reported by DPA (Deutsche Presse Agentur) show that the house in the accident once emitted thick smoke, and the house was seriously damaged after the firefighters put out the fire.",-10
"At present, the cause of the plane crash is still unclear.","At present, the cause of the plane crash is not clear.",0
The Rhine Post quoted the police as saying that there were clues that the plane had disintegrated before it hit a residential building.,The Rheinische Post quoted the police as saying that there were clues indicating that the plane had disintegrated before crashing into the residential building.,-5
The police said that several parts of the crashed plane were found near the scene of the accident.,"According to the police, several parts of the crashed plane were found near the accident site.",0
German Interpol is working with Duisburg prosecutors and the German Federal Aviation Accident Investigation Agency to investigate the cause of the accident.,German criminal police are investigating the cause of the accident together with Duisburg Procuratorate and German Federal Bureau of Aircraft Accident Investigation.,-11
"On the same day, the reporter learned from the Chinese Consulate General in Dusseldorf that the museum contacted the local police station and fire department. According to the judgment on the scene, there were no Chinese citizens among the casualties.","On the same day, the reporter learned from the Chinese Consulate General in Düsseldorf that Chinese Consulate General in Düsseldorf had contacted the local police station and fire department, knowing that there were no Chinese citizens among the casualties according to the judgment on the spot.",-5
"Director Dapeng's "" Auspicious Ruyi "" shortlisted for the Golden Goblet Award-Xinhuanet",The Reunions directed by Dapeng was shortlisted for the Golden Goblet Awards - www.xinhuanet.com,-5.2
"On July 18, the 23rd Shanghai International Film Festival announced the official list of films selected for the Golden Goblet Award.","On July 18th, the 23rd Shanghai International Film Festival announced the official list of films selected by the Golden Goblet Awards.",0
"Director Dapeng's first realistic film "" Auspicious Ruyi "" was successfully shortlisted for the Golden Goblet Award at the Shanghai Film Festival. At the same time, the film officially released its first poster.","The Reunions, the first realistic film directed by Dapeng, successfully entered the SIFF Golden Goblet Awards of this film festival, and the film officially released its first poster.",0
Poster side for photos,Poster. The picture is provided by the producer.,-5
"The film "" Auspicious Ruyi "" is director Dapeng's first realistic work, and it is also his second bond with the Golden Goblet Award.","The Reunions is the first realistic work directed by Dapeng, and makes him the second connection with the Golden Goblet Awards.",0
"The film tells the story of a comedy director who returned to his hometown in the northeast countryside on a whim, hoping to make a literary film for his family during the New Year, but encountered a series of accidents.","The film tells a story: a comedy director has a whim and returns to his hometown in Northeast China, hoping to make a art cinema of his family's Chinese New Year, and as a result, he encounters a series of accidents.",0
The family members gathered for making the film completed the final gathering.,The family members gathered for filming finished the final party.,0
"In the movie poster released today, Wang Jixiang, a member of the family, sits in the middle of the screen smoking a cigarette. The background is the black land of Northeast China dressed in silver, and the foreground is the red lanterns that Chinese people must hang on holidays.","In the movie poster released today, Wang Jixiang, a member of this family, the third uncle, sits in the middle of the picture and smokes a cigarette, the background is the northeast black land covered with silver, and the prospect is the red lantern that Chinese people must hang for the New Year.",0
"The red lanterns, which symbolize joy and reunion, form a huge contrast with the lonely Wang Jixiang, which seems to reveal the complexity and entanglement of this big family relationship.","The red lantern symbolizing joy and reunion is in great contrast with the lonely Wang Jixiang, which seems to reveal the complexity and entanglement in this large family relationship.",-1
"It is reported that in the film, except for the daughter of "" third uncle "" Wang Jixiang, which is played by actor Liu Lu, the rest of the scenes are completed by the real director's family. The experimental audio-visual style of the film breaks the boundary between drama and reality, and brings the audience a brand-new immersive viewing experience.","It is reported that in the film, except for the daughter of ""Three Uncle"" Wang Jixiang, who is played by actor Liu Lu, all other plays were performed by the real director's family, and the experimental audio-visual style of the film breaks the boundary between drama and reality, and brings the audiences a new immersive viewing experience.",-5.2
"According to director Dapeng, the creation of "" Good Luck "" originated from "" a providence. "" A series of sudden changes in the family during the filming forced the original filming plan to be changed. Life without a script was finally recorded as a movie, but the tension beyond design was released.","According to the director Dapeng, The creation of Reunions originated from “providence”, a series of sudden family changes during the filming made the original shooting plan have to be changed, and life without script was finally recorded as a film, but it released the tension beyond design.",-10.1
"How does director Dapeng face this "" providence "" and how should he continue to meet the changes brought about by this providence?",How does the director Dapeng face this “providence” and how can he continue to meet the changes brought by this providence?,0
"There is no doubt that "" Auspicious Ruyi "" is full of experiments. The lineup of almost all people and innovative audio-visual style turn life in front of the camera into a movie. Under the package of real images, the audience will also find the shadow of themselves and their families from the family presented in the film. With the end of the family gathering in the film, a series of thoughts will be evoked.","There is no doubt that The Reunions is full of experiments; the almost all-round amateur lineup and innovative audio-visual style have turned the life in front of the camera into a movie; under the package of real images, the audiences will find the shadow of themselves and their families from the family presented in the film; and with the end of this family gathering in the film, a series of thoughts are aroused.",-11.1
NEWS.GOV.MO: Hotline Statistical data of the Contingency Coordination Center for the Covid-19 (From 08:00 on the 25th to 08:00 on the 26th of July 2020),NEWS.GOV.MO: Statistics through the Enquiry Hotline of COVID-19 Infection Response and Coordination Center (08H00 July 25 - 08H00 July 26),-5
"From 8:00 am on July 25th to 8:00 am on July 26th, 2020, the Contingency Coordination Center for the Covid-19 received a total of 292 requests for information.","From 08H00 July 25 to 08H00 July 26, 2020, the Enquiry Hotline of COVID-19 Infection Response and Coordination Center intercepted 292 telephone enquiries.",-10
The 291 requests for information related to the epidemic were distributed as follows:,"The 291 enquires about the COVID-19 pandemic were transferred to the representatives of relevant departments for follow-up, as shown below:",-5
"Health Services: 271 cases (on isolation measures, nucleic acid testing, issues related to dual-registered vehicles, health code, and others.)",Health Bureau: 271 enquiries (involving: quarantine; nucleic acid testing; two-site licenses; health code; and others. ),-10
"Public Security Police Force: 17 cases (on migration measures, border crossing measures for private and dual-registration vehicles from Guangdong and Macau, hotline for Zhuhai administrative matters, issues related to the period of permanence of documents.)",Public Security Police Force Headquarters: 17 enquiries (involving: entry-exit measures; entry-exit measures for vehicles with Canton and Macao’s driving licenses; Zhuhai’s hotline for government affairs; and Visa stay period. ),-20
Tourism Office: 1 case (about isolation hotel.),Tourist Administration: 1 enquiry (involving: hotels for quarantine ),-5
Education and Youth Development Bureau: 1 case (on measures to return to the UK for study.),Education and Youth Affairs Bureau: 1 enquiry (involving: how Macau students can return to the UK for study. ),0
Marine and Water Bureau: 1 case (on the need or not to declare Hong Kong fishing vessels to the Bureau for entry to Macao and the matter of nucleic acid testing),"Marine and Water Bureau: 1 enquiry (involving: whether Hong Kong fishing vessels entering the port need to declare to the Marine and Water Affairs Bureau, and the matters concerning nucleic acid testing. )",-10
Marinichev said that changes in value are affected by the devaluation of the ruble and the epidemic.,"Marinichev said that the change in value was influenced by the devaluation of the Rouble and the pandemic, etc.",-5
""" Service costs are increasing, "" he said.","He said, “The cost of services is increasing.",-0.2
"Due to the epidemic, people began to spend more time on the Internet. ""","For reason of the pandemic, people are starting to spend more time on the Internet. ”",-1.1
"Marinichev does not rule out that Internet prices will rise seriously this year, and believes that operators can provide customers with higher speeds and more services to offset people's dissatisfaction with price increases.","Marinichev did not rule out a major rise in the annual prices of the Internet, and he thought that operators could provide customers with higher speeds and more services to offset people's dissatisfaction with the rise in price.",-2
""" Chinese Doctors "" prepares to pay tribute to anti-epidemic heroes-Xinhuanet","Chinese Doctors is in preparation for filming, a tribute to the heroes of the epidemic - Xinhua News",-6.2
"Recently, with the respect of Chinese filmmakers' heroes fighting the epidemic, Yu Dong, chairman of Bona Pictures Group, and Liu Weiqiang, director (left), held a discussion and exchange with Academician Zhong Nanshan in Guangzhou on the production of the anti-epidemic film "" Chinese Doctors "".","Recently, Yu Dong, chairman of Bona Film Group, and Liu Weiqiang, director (left), had a discussion and exchange respectfully with Academician Zhong Nanshan in Guangzhou regarding the shooting and production of the film Chinese Doctors on the theme of fighting against the COVID-19 epidemic.",-10
"Bona Pictures hopes to use "" Chinese Doctors "" to pay tribute to all medical and epidemic prevention workers fighting in the front line of epidemic prevention and control!","By shooting the film Chinese Doctors, Bona Film hopes to pay tribute to all the medical and epidemic prevention workers who are fighting on the front line of epidemic prevention and control!",-5
"In 2021, the film will be released nationwide as a tribute film to celebrate the 100th anniversary of the founding of the Communist Party of China.","In 2021, the film will be released nationwide as a tribute film to celebrate the 100th anniversary of the founding of the Communist Party of China.",0
"At present, Bona Pictures is organizing the original crew of the film "" The Captain "" to make the film "" Chinese Doctors "" under the arrangement and deployment of the Central Propaganda Department and the National Film Bureau, and with the support of the Guangdong Film Bureau and the Hubei Film Bureau. This is a film that reflects the unity of the people of the whole country to fight the COVID-19 pneumonia epidemic under the strong leadership of the Party Central Committee.","At present, under the arrangement by the Ministry of Propaganda and the National Film Bureau, and with the support of the Film Bureau of Guangdong Province and the Film Bureau of Hubei Province, Bona Film is organizing the original cast of the film Chinese Captain to prepare the film Chinese Doctor, which is a film reflecting the unity of the people of China in fighting against the COVID-19 epidemic under the strong leadership of the Central Committee of the Party.",-15.2
"The film focuses on the front line of fighting the epidemic in Wuhan. It will take Wuhan medical staff and provincial and municipal medical teams as the background. From the perspective of human nature, it uses unique narrative and powerful lens language to show the touching story of Chinese medical staff full of dedication and sacrifice on the front line of fighting the epidemic.","Focusing on the front line of epidemic prevention and control in Wuhan, the film will use a unique narrative from a humanity perspective and a very impactful camera language to show how Wuhan medical and nursing staff and medical teams from various provinces and cities fight on the front line against the epidemic, and to talk the touching story of dedication and sacrifice in a panoramic view.",-1
"It is understood that as soon as Wuhan was unsealed, Bona overcame many difficulties and sent a shooting team to go deep into the front line of the epidemic to exchange understanding and collect information with hundreds of medical workers face-to-face. So far, it has interviewed white angels at the forefront of the anti-epidemic front, including Academician Zhong Nanshan himself, Guangzhou's first aid to Wuhan, Guangdong's medical team, as well as Wuhan Jinyintan Hospital, Wuhan Union Hospital, Wuhan University Zhongnan Hospital, Wuhan Central Hospital, etc., and photographed a large number of precious first-hand video materials.","It is reported that on the first day when the Wuhan city lifted its lockdown, Bona overcame many difficulties and sent a team to go deep into the front line of the epidemic, exchanging information with and collecting data from hundreds of medical workers face to face, and at present, Bona has interviewed the angels in white who were at the forefront of the epidemic fight, including Academician Zhong Nanshan, the first person who rushed to Wuhan from Guangzhou, the medical team from Guangdong to assist Wuhan, as well as doctors from Wuhan Jinyintan Hospital, Wuhan Union Hospital, Wuhan University Central South Hospital, Wuhan Central Hospital, etc., and captured a lot of precious first-hand videos.",-16
"Academician Zhong Nanshan also raised expectations and hopes for the filming of the film in this symposium: "" I look forward to it. I hope you will not only visit some experts who have made more public appearances, but also interview more medical staff who are working hard on the front line. They are the majority. ""","Academician Zhong Nanshan also raised his expectations and hopes for the film's shooting in this symposium: ""I am looking forward to it, and I hope you will not only visit some experts who frequently appear on media, but also interview more medical personnel who are working hard at the front line, they are the majority. ”",-20
"He said that he had seen "" Me and My Motherland "" and "" The Captain "" before and thought it was a good way to tell the story of the big pattern from the perspective of ordinary people.",He said he had previously seen My People My Country and Chinese Captain and thought the approach of telling big-picture stories from the perspective of ordinary people would be good.,-15
""" Now some foreign friends still have some misunderstandings about China. ""","""Now some foreign friends still have some misconceptions about China. ”",0
"When talking about the dissemination of the film, Academician Zhong Nanshan said that at present, some people abroad like to label the virus as politicized. He hopes that the film can impress the audience from the perspective of human nature: "" In addition to being shown in China, it is best for this film to be shown abroad. It is necessary to impress the audience with the true humanistic spirit in a way that domestic and foreign audiences can understand. ""","When it comes to the communication of the film, Academician Zhong Nanshan said that some people abroad currently like to politicize the virus, and he hopes that the film will impress the audience from a humanistic perspective: ""It is better for this film to be shown abroad in addition to China, and to impress the audience with a true humanistic spirit in a way that both domestic and foreign audiences can understand. ”",-25
"Academician Zhong Nanshan also fondly recalled the film "" People at Their Middle Ages "" in the 1980s, "" After so many years, what impressed me most about the film after the reform and opening up was "" People at Their Middle Ages "". At that time, my doctor friends abroad were all crying. If "" Chinese Doctors "" can play such a role, it would be great. ""","Academician Zhong Nanshan also fondly recalled the 1980s film At Middle Age, ""After so many years, I still have the deepest impression of the post-reform and opening-up film At Middle Age, and my doctor friends abroad watched it and cried, and it would be amazing if Chinese Doctors could serve that purpose. ”",-25
"Academician Zhong Nanshan said that if "" Chinese Doctors "" can resonate with foreign audiences, it will be very successful.","Academician Zhong Nanshan said that if Chinese Doctors can resonate with foreign audiences, it will be very successful.",-0.1
"During the discussion and exchange, Academician Zhong Nanshan also shared his opinions and suggestions on the current international epidemic prevention and control, "" I believe that people are always smarter than viruses. ""","During the discussion and exchange, Academician Zhong Nanshan also shared his opinions and suggestions on the current international epidemic prevention and control, ""I believe that people are always smarter than viruses. ”",-5
"Academician Zhong Nanshan said that although the virus is difficult to predict, since the primitive society, mankind has survived thousands of difficulties and dangers. Nowadays, modern society has advanced medical technology and social management measures. In addition, medical staff and even ordinary people all over the world have a basic understanding of the scientific response to the COVID-19 pneumonia epidemic. People will no longer be as passive as before. "" Next, we must pay attention to two aspects of work, one is to study how the world can strengthen cooperation, and the other is to pay attention to soothing people's hearts. ""","Academician Zhong Nanshan said that although the virus is unpredictable, but from primitive society to date, humans have survived thousands of difficulties, now modern society has developed medical technology and social administration measures, coupled with the basic understanding of the scientific response to the COVID-19 epidemic among medical professionals and even the general public all over the world, people won't be as passive as they used to be, ""in the future, we need to study how the world can strengthen cooperation, and to comfort the people who have suffered from the epidemic.",-1.3
(Reporter Wang Jinyue),(By Wang Jinyue),0
"Cultural Tourism "" Red Fruit "" Gathers in Shaoshan-Xiangtan First Red Expo-Today's News-Hunan Daily Network-Huasheng Online",“Red fruits” of cultural tourism gather in Shaoshan - News about the First Xiangtan Red Culture Industry Expo - News Today - hnrb.voc.com.cn - www.voc.com.cn,-2.3
Hunan Daily · New Hunan Client Reporter Jiang Rui Correspondent Xiao Yan,Hunan Daily Hunan Today Client Reporter: Jiang Rui Correspondent: Xiao Yan,0
"Jiaxing Red Boat Mould, Shaoshan Mao Zedong Bronze Statue, Yan'an Budui Flower Crafts, Xiangxi Yongshun Bacon... On July 25, the 2020 Hunan Red Tourism Culture Festival opened in Shaoshan.","Red boat moulds from Jiaxiang, Mao Zedong’s bronze statue from Shaoshan, paste-on-paste pate-surpate artworks from Yan’an, Yongshun bacon from Xiangxi… The 2020 Hunan Red Tourism Culture Festival opened in Shaoshan on July 25.",-5
"As one of the main activities, the first Xiangtan Red Cultural Industry Expo was held in Shaoshan Global Tourism Consulting and Distribution Center.","As one of the main activities, the First Xiangtan Red Culture Industry Expo was developed at Shaoshan Global Tourism Advisory and Distribution Center.",-5
"Red cultural and creative products in the exhibition area and local products in the old revolutionary area are dazzling, attracting tourists from all over the world to buy them.","The exhibition area is full of red cultural and creative products and native products from the old revolutionary areas, attracting tourists from all over the world to buy them.",0
""" This Red Expo is not only a demonstration of the achievements of the national red cultural industry, but also an important platform for exhibitors and enterprises to exchange experiences and explore development paths. ""","""This Red Expo is not only a display of the achievements of the national red culture industry, but also an important platform for exhibitors and enterprises to exchange experience and discuss the ways of development. ”",-0.2
"According to the relevant person in charge of the Executive Committee of the first Xiangtan Red Expo, the theme of this Red Expo is "" Promoting Red Culture and Boosting Cultural Tourism"" , with a total exhibition area of nearly 3,000 square meters, with an atmosphere creation area, a scenic spot display area and an online shopping experience area for red cultural tourism online games.","As introduced by relevant principal of the Executive Committee of the First Red Expo, this Red Expo is themed on “Carrying Forward Red Culture to Boost the Development of Cultural Tourism”, covers a total exhibition area of nearly 3,000m2, and sets the atmosphere creation area, scenic spot exhibition and display area, and online tour and shopping experience area of red cultural tourism.",-12.1
"137 enterprises and units from 8 provinces and cities including Jiaxing in Zhejiang, Zunyi in Guizhou and Yan'an in Shaanxi, as well as Changsha, Zhuzhou, Yueyang and Chenzhou in our province, were invited to participate in the exhibition. A total of 768 kinds of exhibits were exhibited, including red cultural relics, handicrafts, food specialties, tourist routes, red training courses, red cultural and creative products, etc.","Total 137 enterprises and units from 8 cities of other provinces, including Jiaxing of Zhejiang Province, Zunyi of Guizhou Province, and Yan’an of Shaanxi Province, as well as Changsha, Zhuzhou, Yueyang and Chenzhou of our province were invited to participate in the exhibition, and exhibited 768 kids of exhibits, including red cultural relics, handicrafts, food specialties, tourism lines, red training courses and red cultural and creative products.",-11
The exhibition area will be open until July 29.,The exhibition will last until July 29.,0
"As the host of the Red Expo, Xiangtan exhibition area has many bright spots.","As the host of the Red Expo, Xiangtan Exhibition Area is full of highlights.",-10
"According to the person in charge of the exhibition area, Xiangtan exhibition area is divided into two parts: red industry and red cultural industry development.","As introduced by the person in charge of the exhibition areas, Xiangtan Exhibition Area is divided into two major parts, namely the red industry and red cultural industry development.",0
"The red industrial exhibition area displays 31 exhibits from 6 enterprises such as Hualing Xianggang, Hualing Cable and Xiangdian Power, and the red cultural industry development exhibition area displays nearly 200 products from 27 units such as red series books, red series food, red series cultural and creative products.","The Red Industry Exhibition Area exhibited 31 exhibits of 6 enterprises, including Xiangtan Iron & Steel Co., Ltd. of Hunan Valin, Hunan Valin Wire & Cable Co., Ltd., and XEMC. The Red Cultural Industry Development Exhibition Area exhibited nearly 200 products of 27 units, including series of books, red series of food, red series of cultural and creative products.",-5
"In the Yan'an exhibition area, many tourists are attracted by Chen's cloth pile flower handicrafts and paper-cut works of art.","In Yan’an Exhibition Area, many visitors were attracted by the fabric paste-on-paste pate-surpate handicrafts and paper-cutting artworks on display.",-6
"Ma Dongpo, director of Yan'an Municipal Bureau of Culture and Tourism, introduced that the exhibition carefully selected Yan'an's outstanding red cultural and creative products in the past two years, of which 16 products are outstanding works of national red cultural and creative products in 2019.","As introduced by Ma Dongpo, director general of Yan'an Department Culture and Tourism, excellent red cultural and creative products of Yan'an in the past two years were selected elaboratively for this exhibition, of which 16 products are the outstanding works of the 2019 National Red Cultural and Creative Products Exhibition.",0
"At the same time, they invited the inheritors of the national intangible cultural heritage protection projects "" Ansai Paper-cut"" , "" Northern Shaanxi Folk Songs "" and the provincial intangible cultural heritage project Yanchuan Budui painting, focused on promoting Yan'an folk custom products, and took this opportunity to communicate with enterprises in other exhibition areas to promote cross-regional cooperation.","Meanwhile, they invited the inheritors of national intangible cultural heritage protection project ""Ansai Paper-cutting"", ""Northern Shaanxi Folk Songs"" and the provincial intangible heritage project “Yanchuan fabric paste-on-paste pate-surpate” to mainly recommend the folk-custom-featured products of Yan’an, and taking this opportunity, they communicated with the units and enterprises of other exhibition areas to promote cross-regional cooperation.",0
"Membrane separation technology helps crack the "" greenhouse effect "" -chinanews.com","Membrane separation technology helps to solve the ""greenhouse effect” - www.chinanews.com",-2
"Membrane separation technology helps crack the "" greenhouse effect ""","Membrane separation technology helps to solve the ""greenhouse effect""",-1
Schematic diagram of new mixed matrix membrane preparation technology,Schematic diagram of preparation technology of new mixed matrix membrane,-2
"News from our newspaper reporter Shang Rui reported: A few days ago, the Tianjin University Atmospheric Environment and Bioenergy Team has made significant progress on the "" membrane separation method to capture carbon dioxide "" and successfully developed a new mixed matrix membrane preparation technology, which greatly improves the carbon dioxide capture performance of membrane materials.","Www.chinanews.com, reporter Shang Rui - Recently, the Atmospheric Environment and Bioenergy Task Force at Tianjin University made great progress on ""carbon dioxide capture by membrane separation method"", and successfully researched and developed a new preparation technology of mixed matrix membrane, which greatly improves the carbon dioxide capture performance of membrane materials.",-4.1
Relevant results have been published as the cover article of the international journal Greenhouse Gas: Science and Technology.,Related achievements have been published as a cover article of the international journal Greenhouse Gas: Science and Technology.,-2
"The "" greenhouse effect "" is a major environmental problem perplexing human development, and carbon dioxide emissions are the culprit responsible for the "" greenhouse effect. ""","""Greenhouse effect"" is a major environmental problem that puzzles human development, and carbon dioxide emission is the culprit of ""greenhouse effect"".",-1
How to efficiently capture and utilize the carbon dioxide emitted by humans is the focus of attention of scientists.,How to efficiently capture and utilize carbon dioxide emitted by human beings is the focus of scientists' attention.,-1
""" Membrane separation method "" is an emerging carbon dioxide capture technology. It separates carbon dioxide gas with the help of membrane materials, which has the characteristics of high efficiency, energy saving and simple operation.","""Membrane separation"" is a new carbon dioxide capture technology, which separates carbon dioxide gas with the help of membrane materials, and has the characteristics of high efficiency, energy saving and simple operation.",-1
"How to make the membrane material "" breathe deeply "" and improve the efficiency of gas separation is the bottleneck and difficulty in capturing carbon dioxide by membrane separation method.","How to make membrane materials ""breathe deeply"" and improve the efficiency of gas separation is the bottleneck and difficulty of carbon dioxide capture by membrane separation.",-6
The scientific research team of Tianjin University innovated ideas and explored the influence of different solvents on membrane gas separation performance through repeated experiments.,The scientific research team of Tianjin University innovated ideas and explored the impact of different solvents on membrane gas separation performance through repeated experiments.,-2
"The experimental results show that with N-methylpyrrolidone as the preparation solvent, the distribution of carbon nanotubes in the membrane material is more uniform and "" more breathable"" , which effectively improves the gas separation efficiency and rate of the membrane material.","The experimental results indicate that with N- methylpyrrolidone as the preparation solvent, the carbon nanotubes in the generated membrane material are more evenly distributed and “more breathable”, which effectively improves the gas separation efficiency and rate of the membrane material.",-3
The carbon dioxide separation performance of the mixed matrix membrane prepared by this new technology is close to the theoretical separation upper limit of this kind of membrane material.,The carbon dioxide separation performance of the mixed matrix membrane prepared by this new technology is close to the upper limit of the theoretical separation of this kind of membrane material at present.,0
""" The new technology provides a new idea for capturing carbon dioxide by membrane separation. ""","""The new technology provides a new idea for capturing carbon dioxide by membrane separation. ”",0
"Li Run, a member of the atmospheric environment and bioenergy team of Tianjin University, said: "" We hope that this technology can provide strong support for future coal-fired power plants and chemical enterprises to deal with flue gas and play an important role in controlling greenhouse gas emissions. ""","Li Run, a member of the Atmospheric Environment and Bioenergy Task Force at Tianjin University, said: ""we hope that this technology can provide strong support for future coal-fired power plants and chemical enterprises to deal with flue gas and play a major role in controlling greenhouse gas emissions. ”",0
"Established a special committee for the first time and collectively signed a "" long agreement "" The third CIIE exhibitors alliance to build a "" link "" -Xinhuanet","The special committees set up for the first time and “long-term contract” signed collectively, and the 3rd China International Import Expo Enterprise Alliance builds a ""CIIE bond"" – www.xinhuanet.com",-1.4
"The scene of the first meeting of the 3rd CIIE Exhibitors Alliance, which was filmed in Shanghai on July 26.",The scene of the first Conference of the 3rd China International Import Expo Enterprise Alliance taken in Shanghai on July 26.,0
"Xinhua News Agency, Shanghai, July 26 (Reporter Zhou Rui) On the 26th, the Exhibitors Alliance of the Third Import Expo set up a professional committee for the first time here. The first batch of special committees set up included the Special Committee on Public Health and Epidemic Prevention and the Special Committee on Dairy Industry. 35 member enterprises also signed a three-year long-term cooperation memorandum, and the role of the Exhibitors Alliance of CIIE has been continuously strengthened.","Xinhua News Agency, Shanghai, July 26 (Reporter Zhou Rui) – On the 26th, the 3rd China International Import Expo Enterprise Alliance set up special committees for the first time, including the Special Committee on Public Health and Pandemic Prevention, and the Special Committee on Dairy Industry, and 35 member enterprises signed the Memo of 3-Year Cooperation for Exhibition, and the role of the China International Import Expo Enterprise Alliance as a bond is strengthening constantly.",-1
"At the first meeting of the 3rd CIIE Exhibitor Alliance held here on the 26th, a group of exhibition alliance member companies such as Hyundai of South Korea, Dow Chemical of the United States, Shiseido of Japan, New Zealand, Siemens of Germany, Michelin of France, and Aslikon of the United Kingdom signed a three-year long-term cooperation memorandum, and the revised and improved articles of association of the exhibition alliance were also announced for the first time.","At the first Conference of the 3rd China International Import Expo Enterprise Alliance held on the 26th, a batch of member enterprises signed the Memo of 3-Year Cooperation for Exhibition, including Hyundai of Korea, Dow Chemical of the United States, Shiseido of Japan, Theland of New Zealand, Siemens of Germany, Michelin of France and AstraZeneca of the United Kingdom, and the revised and improved constitution of the China International Import Expo Enterprise Alliance was also announced for the first time.",-10
The establishment ceremony of the Dairy Professional Committee was filmed in Shanghai on July 26.,The scene of the inauguration ceremony of the Special Committee on Dairy Industry taken in Shanghai on July 26.,-5
"According to the latest articles of association, the exhibition alliance will introduce the rotation mechanism of the lead unit to strengthen the function of the special committee.","According to the latest constitution, the China International Import Expo Enterprise Alliance will introduce the leading unit rotation mechanism to strengthen the function of the special committees.",-5
The special committee will put forward suggestions for the analysis of industry development trends and promote the sustainable development of the industry.,The special committees will make suggestions for the analysis of industry development trend and promote the sustainable development of the industry.,-5
